3D打印	to 3D print
来电显示	caller ID
来着	auxiliary showing sth h…
来硬的	to get tough
来福枪	rifle
来福线	rifling
来者不拒	to refuse nobody
来而不往非礼也	not to reciprocate is a…
来自	to come from
来苏糖	lyxose
来袭	to invade
来讲	as to
来访	to pay a visit
来访者	visitor
来路	incoming road
来路不明	unidentified origin
来踪去迹	lit. the traces of a pe…
来项	income
来鸿	incoming letter
来鸿去燕	lit. the goose comes
来龙去脉	lit. the rise and fall …
杨业	Yang Ye
杨丞琳	Rainie Yang
杨凝式	Yang Ningshi  calligrap…
杨利伟	Yang Liwei
杨坚	first Sui emperor Yang …
杨守仁	Yang Shouren
杨宝森	Yang Baosen
杨家将	Yang Saga
杨尚昆	Yang Shangkun
杨建利	Yang JianLi
杨开慧	Yang Kaihui
杨振宁	Chen-Ning Franklin Yang
杨斌	Yang Bin
杨月清	Yang Yueqing
杨朱	Yang Zhu
杨柳	willow tree
杨树	poplar tree
杨桃	carambola
杨梅	red bayberry
杨森	Yang Sen
杨洁篪	Yang Jiechi
杨浦区	Yangpu district
杨深秀	Yang Shenxiu
杨澄中	Yang Chengzhong
杨澜	Yang Lan
杨炯	Yang Jiong
杨玉环	Yang Yuhuan
杨百翰	Brigham Young
杨百翰大学	Brigham Young University
杨福家	Yang Fujia
杨秀清	Yang Xiuqing
杨维	Yang Wei
杨致远	Jerry Yang
杨虎城	Yang Hucheng
杨贵妃	Yang Guifei
杨过	Yang Guo
杨采妮	Charlie Young
杨锐	Yang Rui
杨陵	see 楊陵區|杨陵区
杨陵区	Yangling
杭州	see 杭州市
杭州市	Hangzhou
杭州湾	Hangzhou Bay
杭锦	Hanggin banner
杭锦后旗	Hanggin Rear banner or …
杭锦旗	Hanggin banner
杯中物	the contents of the cup
杯具	cup
杯垫	coaster
杯子	cup
杯弓蛇影	lit. to see a bow refle…
杯托	a saucer
杯水车薪	lit. a cup of water on …
杯珓	see 筊杯
杯盖	cup lid
杯盘狼藉	cups and dishes in comp…
杯葛	to boycott
杯酒解怨	a wine cup dissolves co…
杯酒言欢	a few drinks and a nice…
杯酒释兵权	to dismiss military hie…
杰伊汉港	Ceyhan
杰佛兹	James Jeffords
杰作	masterpiece
杰克	Jack
杰克森	Jackson
杰克逊	Jackson
杰出	outstanding
杰士派	Gatsby
杰夫	Jeff or Geoff
杰奎琳	Jacqueline
杰奎琳·肯尼迪	Jacqueline Onassis Kenn…
杰弗逊	Jefferson
杰弗里·乔叟	Geoffrey Chaucer
杰拉德	Gerrard
杰瑞	Jerry or Gerry
杰米	Jamie
杰西	Jesse
杰西卡	Jessica
杰里科	Jericho
杰里米	Jeremy
杳冥	dim and dusky
杳如黄鹤	to be gone forever
杳无人烟	see 杳無人跡|杳无人迹
杳无人迹	without trace of human …
杳无消息	see 杳無音信|杳无音信
杳无音信	to have no news whatever
杳渺	dimly discernible
杳然	quiet
松一口气	to heave a sigh of reli…
松下	Matsushita
松下公司	Panasonic Corporation
松下电器	Panasonic Corporation
松下电气工业	Matsushita Electronics …
松井	Matsui
松仁	pine nut
松动	loose
松化石	turquoise
松北	see 松北區|松北区
松北区	Songbei
松原市	Songyuan
松口	to let go of sth held i…
松口蘑	matsutake
松嘴	see 鬆口|松口
松土	to plow
松垮	undisciplined
松塔	pine cone
松子	pine nut
松山	Songshan or Sungshan Di…
松山区	Songshan or Sungshan Di…
松岭	see 松嶺區|松岭区
松岭区	Songling
松巴哇	Sumbawa
松巴哇岛	Sumbawa
松开	to release
松弛	to relax
松弛法	relaxation
松快	less crowded
松懈	to relax
松手	to relinquish one's grip
松散	to relax
松明	pine torch
松木	pine wood
松本	Matsumoto
松果	pine cone
松果体	pineal body
松果体素	melatonin
松果腺	pineal body
松柏	pine and cypress
松树	pine
松桃	see 松桃苗族自治縣|松桃苗族自治县
松桃县	see 松桃苗族自治縣|松桃苗族自治县
松桃苗族自治县	Songtao Miao Autonomous…
松气	to relax one's efforts
松江	Songjiang suburban dist…
松江区	Songjiang suburban dist…
松泛	relaxed
松溪	see 松溪縣|松溪县
松溪县	Songxi
松滋	see 松滋市
松滋市	Songzi
松潘	see 松潘縣|松潘县
松潘县	Songpan
松狮犬	Chow Chow
松球	pine cone
松田	Matsuda
松糕	steamed rice cake made …
松糕鞋	platform shoes
松紧带	elastic
松绑	to untie
松缓	to loosen
松脱	loose
松节油	turpentine
松花江	Songhua River in Jilin …
松花蛋	century egg
松茸	matsutake
松赞干布	Songtsen Gampo or Songz…
松赞干布陵	the tomb of Tibetan kin…
松软	flexible
松辽平原	Songliao Plain of north…
松针	pine needle
松阳	see 松陽縣|松阳县
松阳县	Songyang
松露	truffle
松露猪	truffle hog
松饼	muffin
松香	rosin
松鸡	grouse
松鸦	Eurasian jay
松鹤遐龄	longevity
松鼠	squirrel
板上钉钉	that clinches it
板书	to write on the blackbo…
板儿爷	pedicab driver
板凳	wooden bench or stool
板刷	scrubbing brush
板块	slab
板块构造	plate tectonics
板块理论	plate tectonics
板壁	wooden partition
板子	board
板式塔	distillation tower
板房	temporary housing built…
板报	see 黑板報|黑板报
板擦	blackboard or whiteboar…
板擦儿	blackboard or whiteboar…
板斧	broad axe
板材	sheet materials
板条	lath
板条箱	crate
板板六十四	unaccommodating
板栗	Chinese chestnut
板桥	Banqiao or Panchiao cit…
板桥市	Banqiao or Panchiao cit…
板梁桥	plate girder bridge
板楼	slab type building
板油	leaf fat
板滞	stiff
板烟	plug
板牙	incisor
板状	board-shaped
板球	cricket
板眼	measure in traditional …
板砖	wall brick
板结	soil crusting
板羽球	battledore and shuttlec…
板胡	a bowed stringed instru…
板脸	to put on a straight
板蓝根	indigo woad root
板车	handcart
板门店	Panmunjeom
板面	pan mee
板鞋	skate shoes
板鸭	Spain
板鼓	small drum for marking …
极为	extremely
极乐	bliss
极乐世界	paradise
极了	extremely
极值	maxima and minima
极光	aurora
极其	extremely
极刑	supreme penalty
极力	to make a supreme effort
极化	polarization
极右分子	extreme right-winger
极右翼	extreme right
极品	best quality
极地	polar region
极坐标	polar coordinates
极坐标系	system of polar coordin…
极大	enormous
极大值	maximum value
极好	fabulous
极客	geek
极寒	extreme cold
极小	minimal
极少	very little
极少数	extremely few
极差	range
极度	extremely
极性	polarity
极有可能	extremely possible
极权	totalitarian
极权主义	totalitarianism
极深研几	deep and detailed inves…
极点	extreme point
极盛时期	most flourishing period
极目远望	as far as the eye can s…
极端	extreme
极端主义	extremism
极端分子	extremist
极简主义	minimalism
极细小	extremely small
极致	peak
极轴	polar axis
极限	limit
极限运动	extreme sport
构件	member
构图	composition
构型	structure
构建	to construct
构思	to design
构想	to conceive
构想图	notional diagram
构成	to constitute
构架	structure
构树	paper mulberry
构筑	to build
构词	composite word
构词学	morphology
构造	structure
构造运动	tectonic movement
构陷	to frame
枇杷	loquat tree
枇杷膏	Pei Pa Koa
枉死	to die in tragic circum…
枉法	to circumvent the law
枉然	in vain
枉费	to waste
枉顾	to neglect
枋寮	Fangliao township in Pi…
枋寮乡	Fangliao township in Pi…
枋山乡	Fangshan township in Pi…
析出	to separate out
析毫剖厘	to analyze in the fines…
枕冷衾寒	cold pillow and lonely …
枕叶	occipital lobe
枕头	pillow
枕头大战	pillow fight
枕头套	pillow case
枕头箱	Chinese pillow box
枕套	pillowcase
枕岩漱流	see 枕石漱流
枕巾	pillow cloth
枕席	mat used to cover a pil…
枕席儿	erhua form of 枕席
枕戈寝甲	lit. to sleep on one's …
枕戈待旦	lit. to wait for dawn
枕木	railroad tie
枕石漱流	to live a hermit's life
枕藉	to lie in total disorder
枕边人	the person who shares o…
枕边风	pillow talk
枕骨	occipital bone
林业	forest industry
林丰正	Lin Fong-cheng
林书豪	Jeremy Lin
林克平大学	Linköping University
林内	Linnei township in Yunl…
林内乡	Linnei township in Yunl…
林冲	Lin Chong
林则徐	Lin Zexu or Lin Tse-hsu…
林务	forestry
林区	region of forest
林县	Lin county in Henan
林口	see 林口縣|林口县
林口乡	Linkou township in New …
林口县	Linkou
林可霉素	lincomycin
林吉特	ringgit
林周	see 林周縣|林周县
林周县	Lhünzhub
林地	woodland
林场	forestry station
林壑	woods and ravines
林奈	Carl Linnaeus
林子	woods
林学	forestry
林家翘	Lin Chia-Chiao
林州	see 林州市
林州市	Linzhou
林彪	Lin Biao
林德布拉德	Lindeblatt
林心如	Ruby Lin
林忆莲	Sandy Lam
林志玲	Lin Chi-ling
林怀民	Lin Hwai-Min
林旭	Lin Xu
林木	forest
林来疯	Linsanity
林林总总	in great abundance
林森	Lin Sen
林檎	Chinese pearleaf crabap…
林甸县	Lindian
林立	to stand in great numbe…
林纾	Lin Shu
林肯	Lincoln
林肯郡	Lincolnshire
林芝	see 林芝市
林芝市	Nyingchi
林荫路	see 林蔭道|林荫道
林荫道	boulevard
林薮	woods and marshes
林西县	Linxi
林语堂	Lin Yutang
林边	Linpien township in Pin…
林边乡	Linpien township in Pin…
林雕	black eagle
林雕鸮	spot-bellied eagle-owl
林雪平	Linköping
林青霞	Brigitte Lin
林黛玉	Lin Daiyu
枘凿	incompatible
枚举	to enumerate
枚乘	Mei Cheng
果不其然	just as expected
果仁	fruit kernel
果仁儿	fruit kernel
果农	fruit farmer
果决	firm
果冻	gelatin dessert
果切	fresh-cut fruit
果品	fruit
果园	orchard
果如所料	just as expected
果子	fruit
果子冻	jelly
果子狸	masked palm civet
果子酱	marmalade
果子露	fruit drink
果实	fruit
果实累累	lit. prodigious abundan…
果岭	green
果干	dried fruit
果戈里	Nikolai Gogol
果报	karma
果敢	courageous
果料儿	fruit ingredients
果断	firm
果期	the fruiting season
果木	fruit tree
果树	fruit tree
果核	stone
果汁	fruit juice
果汁机	blender
果泥	fruit puree
果洛州	see 果洛藏族自治州
果洛藏族自治州	Golog Tibetan Autonomou…
果然	really
果皮	peel
果盘	fruit plate
果真	really
果穗	ear
果粉	fan of Apple products
果粒	fruit pieces
果糖	fructose
果肉	the flesh of a fruit
果胶	pectin
果脯	candied fruit
果腹	to eat one's fill
果若	if
果茶	fruit tea
果葡糖浆	glucose-fructose syrup
果蔬	fruit and vegetables
果蝇	fruit fly
果酒	fruit wine
果酱	jam
果馅饼	tart
枝叶	branch and leaf
枝子	twig
枝干	branch
枝条	branch
枝江市	Zhijiang
枝繁叶茂	to grow luxuriantly
枝节	branches and knots
枝节横生	side issues keep arising
枝蔓	branches and tendrils
枞树	fir
枞阳	see 樅陽縣|枞阳县
枞阳县	Zongyang
枢密院	privy council
枢机	cardinal
枢机主教	cardinal
枢纽	hub
枣子	dates
枣庄	see 棗莊市|枣庄市
枣庄市	Zaozhuang
枣强	see 棗強縣|枣强县
枣强县	Zaoqiang
枣树	jujube tree
枣泥	jujube paste
枣阳	see 棗陽市|枣阳市
枣阳市	Zaoyang
枪乌贼	squid
枪伤	gunshot wound
枪决	to execute by firing sq…
枪击	to shoot with a gun
枪击案	a shooting
枪刺	bayonet
枪口	muzzle of a gun
枪声	crack
枪子	bullet
枪崩	to shoot
枪弹	bullet
枪战	gun battle
枪手	gunman
枪打出头鸟	the shot hits the bird …
枪托	butt of a gun
枪把儿	butt of a gun
枪支	a gun
枪替	to substitute for sb in…
枪术	qiang
枪机	bolt of gun
枪杀	to shoot dead
枪杆	gun barrel
枪杆儿	gun barrel
枪杆子	gun barrel
枪林箭雨	forest of spear
枪栓	gun bolt
枪械	firearm
枪榴弹	rifle grenade
枪毙	to execute by firing sq…
枪法	marksmanship
枪灰色	gunmetal gray
枪炮	firearm
枪眼	loophole
枪筒	barrel of a gun
枪管	gun barrel
枪膛	bore of a gun
枪衣	gun cover
枫叶	maple leaf
枫叶国	Canada
枫木	maple
枫树	maple
枫糖	maple syrup
枫香木	Chinese sweetgum
枫香树	Chinese sweetgum
枭雄	ambitious and ruthless …
枭首	to behead
枭首示众	to behead sb and displa…
枯叶	dead leaf
枯寂	bleak
枯干	dried up
枯木	dead tree
枯木逢春	lit. the spring comes u…
枯朽	withered and rotten
枯树	withered tree
枯槁	withered
枯死	to wither and die
枯水	scarce water
枯水期	dry season
枯燥	dry and dull
枯燥无味	tedious
枯竭	used up
枯草	withered grass
枯草杆菌	bacillus subtilis
枯草热	hay fever
枯萎	to wilt
枯萎病	blight
枳壳	bitter orange
枳实	dried fruit of immature…
架上绘画	easel painting
架不住	unable to withstand
架势	attitude
架子	shelf
架子猪	feeder pig
架子车	two-wheeled handcart
架子鼓	drum kit
架构	to construct
架构师	architect
架桥	to bridge
架次	sortie
架空	to build  on stilts
架空历史	alternate history
架空索道	aerial ropeway
架设	to construct
枷锁	stocks and chain
枸杞	wolfberry
枸杞子	goji berry
枸橘	trifoliate orange
枸橼	citron
枸骨	Chinese holly
柊叶	Phrynium capitatum
柏举之战	Battle of Baiju
柏乡县	Baixiang
柏克莱	Berkeley
柏克郡	Berkshire
柏孜克里克千佛洞	the Bezeklik Thousand B…
柏崎刈羽	Kashiwasaki Kariwa
柏崎市	Kashiwazaki city
柏拉图	Plato
柏拉图哲学	Platonism
柏林	Berlin
柏林围墙	Berlin Wall
柏林墙	Berlin Wall
柏林工业大学	Technical University of…
柏柏尔	Berber people of North …
柏树	cypress tree
柏油	asphalt
柏油路	tarred road
柏油马路	tarred road
某事	something
某些	some
某人	someone
某地	somewhere
某处	somewhere
某时	sometime
某某	so-and-so
某物	something
某甲	somebody
某种	some kind
柑橘	citrus
柑橘酱	marmalade
染上	to catch
染发	to dye one's hair
染发剂	hair dye
染布	to dye cloth
染指	to dip a finger
染指于鼎	lit. dip one's finger i…
染指垂涎	lit. dirty finger
染料	dye
染毒	contamination
染病	to catch an illness
染织	dyeing and weaving
染色	dye
染色体	chromosome
染色体倍性	ploidy
染色质	chromosome
染风习俗	bad habits
柔佛	Johor
柔佛州	Johor
柔佛海峡	Straits of Johor
柔和	gentle
柔媚	gentle and lovely
柔嫩	tender
柔弱	weak
柔性	flexibility
柔情	gentle feelings
柔情似水	tender and soft as water
柔情侠骨	gentle feelings and chi…
柔情脉脉	full of tender feelings
柔曼	soft
柔术	jujitsu
柔滑	soft
柔美	gentle and beautiful
柔肠寸断	lit. to feel as if one'…
柔肤水	skin toner
柔能克刚	lit. the soft can subdu…
柔荑花序	catkin
柔软	soft
柔软剂	fabric softener
柔道	judo
柔韧	pliable and tough
柔顺	gentle and agreeable
柔顺剂	fabric softener
柘城	see 柘城縣|柘城县
柘城县	Zhecheng
柘榴石	garnet
柘荣	see 柘榮縣|柘荣县
柘荣县	Zherong
柘黄	yellow dye made from th…
柚子	pomelo
柚木	pomelo tree
柜台	sales counter
柜员	teller
柜员机	ATM
柜子	cupboard
柞水	see 柞水縣|柞水县
柞水县	Zhashui
柞蚕丝	tussah silk
柠檬	lemon
柠檬水	lemonade
柠檬汁	lemon juice
柠檬片	slice of lemon
柠檬茶	lemon tea
柠檬草	lemongrass
柠檬酸	citric acid
柠檬酸循环	citric acid cycle
柠檬鸡	lemon chicken
查克拉	chakra
查克瑞	chakra
查出	to find out
查办	to investigate and hand…
查加斯病	Chagas disease
查勘	to investigate
查哨	to check the sentries
查处	to investigate and hand…
查夜	night patrol
查字法	look-up method for Chin…
查实	to verify
查对	to scrutinize
查封	to sequester
查尔斯	Charles
查尔斯·格雷	Charles Grey
查尔斯·狄更斯	Charles Dickens
查尔斯顿	Charleston
查岗	to check the guard posts
查戈斯群岛	Chagos Archipelago
查房	to inspect a room
查扣	to seize
查找	to search for
查抄	to take inventory of an…
查探	to check
查收	to check for receipt of
查明	to investigate and find…
